,City,Cloudiness,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
88,babanusah,90,1581539486.0,87.0,40.16,-8.33,57.0,1.12
89,babanusah,0,1581539486.0,71.0,69.7,170.31,-4.81,2.33
90,babanusah,3,1581539239.0,82.0,43.32,145.57,34.0,13.15
91,babanusah,20,1581539486.0,74.0,71.04,27.85,32.0,23.04
92,babanusah,75,1581539487.0,63.0,51.26,-80.61,-11.2,17.22
93,babanusah,20,1581539508.0,78.0,-8.84,13.23,82.4,9.17
94,babanusah,0,1581539224.0,77.0,15.48,78.48,68.85,2.51
95,babanusah,1,1581539511.0,35.0,41.37,-73.41,45.0,9.17
96,babanusah,87,1581539512.0,92.0,50.68,156.12,19.51,10.02
97,babanusah,40,1581539284.0,73.0,22.08,-159.32,75.2,12.75
98,babanusah,100,1581539512.0,95.0,54.23,23.52,34.34,12.75
99,babanusah,0,1581539512.0,29.0,27.98,-114.06,66.79,6.53
100,babanusah,0,,,,,,
101,babanusah,90,1581539513.0,94.0,-22.97,-42.03,71.6,10.29
102,babanusah,0,,,,,,
103,babanusah,20,1581539513.0,61.0,63.75,-68.51,-23.01,14.99
104,babanusah,100,1581539514.0,82.0,65.61,-37.64,16.68,39.68
105,babanusah,1,1581539514.0,82.0,-26.65,15.16,68.0,8.05
106,babanusah,43,1581539514.0,79.0,-21.28,25.37,65.89,10.58
107,babanusah,0,1581539514.0,45.0,30.48,-115.95,62.55,8.5
108,babanusah,36,1581539282.0,56.0,61.99,-49.67,1.38,14.76
109,babanusah,75,1581539458.0,73.0,40.81,111.65,26.6,6.71
110,babanusah,4,1581539515.0,82.0,42.54,129.0,24.1,5.57
111,babanusah,20,1581539515.0,87.0,37.72,-25.43,60.8,11.41
112,babanusah,76,1581539515.0,16.0,7.38,8.57,79.14,5.32
113,babanusah,33,1581539516.0,82.0,42.99,143.2,31.6,6.8
114,babanusah,0,,,,,,
115,babanusah,1,1581539516.0,62.0,36.62,-121.92,69.01,6.93
116,babanusah,100,1581539516.0,74.0,-21.21,-159.78,82.4,12.41
117,babanusah,75,1581539516.0,93.0,-33.87,121.9,62.6,6.93
118,babanusah,90,1581539517.0,92.0,47.67,-52.73,30.0,27.51
119,babanusah,75,1581539517.0,65.0,20.7,-105.2,78.8,8.05
120,babanusah,75,1581539517.0,94.0,3.17,113.03,77.0,3.36
121,babanusah,40,1581539517.0,88.0,-20.52,57.52,80.6,12.75
122,babanusah,5,1581539518.0,34.0,60.72,-46.03,5.0,3.36
123,babanusah,99,1581539518.0,78.0,-21.36,55.77,80.6,4.7
124,babanusah,89,1581539518.0,76.0,-2.02,147.27,83.55,15.28
125,babanusah,31,1581539518.0,81.0,8.57,78.12,77.34,11.52
126,babanusah,0,,,,,,
127,babanusah,0,1581539522.0,57.0,20.9,70.37,71.92,6.35
128,babanusah,0,1581539522.0,16.0,16.33,-15.0,84.56,10.16
129,babanusah,0,1581539522.0,81.0,-25.17,45.05,74.21,12.66
130,babanusah,78,1581539522.0,90.0,-22.67,167.48,80.8,16.67
131,babanusah,90,1581539260.0,100.0,37.99,-84.48,41.0,10.29
132,babanusah,100,1581539523.0,92.0,73.51,80.55,19.04,21.77
133,babanusah,40,1581539523.0,83.0,-14.54,40.67,82.4,2.24
134,babanusah,91,1581539526.0,89.0,-10.62,150.67,78.24,5.75
135,babanusah,0,1581539527.0,77.0,49.63,25.33,31.53,14.5
136,babanusah,0,,,,,,
137,babanusah,0,1581539527.0,32.0,24.93,75.58,61.41,0.27
138,babanusah,1,1581539527.0,44.0,38.42,-121.42,68.0,3.36
139,babanusah,0,1581539527.0,93.0,22.86,115.7,68.0,0.87
140,babanusah,94,1581539528.0,89.0,65.44,52.15,29.26,7.85
141,babanusah,40,1581539528.0,88.0,-20.34,57.76,80.6,12.75
142,babanusah,0,1581539528.0,87.0,4.38,-7.72,77.72,2.77
143,babanusah,1,1581539531.0,69.0,27.04,-82.24,87.01,13.87
144,babanusah,79,1581539532.0,98.0,-20.52,47.25,62.87,2.04
145,babanusah,12,1581539532.0,25.0,10.07,34.53,70.9,7.0
146,babanusah,83,1581539532.0,67.0,9.57,37.1,59.74,3.89
147,babanusah,100,1581539532.0,82.0,56.45,138.17,3.43,5.57
148,babanusah,59,1581539532.0,69.0,-23.68,22.79,70.61,14.18
149,babanusah,100,1581539533.0,98.0,72.79,-56.15,-12.14,1.28
150,babanusah,88,1581539533.0,88.0,-34.73,135.87,66.33,11.07
151,babanusah,10,1581539533.0,14.0,11.03,20.28,70.0,5.35
152,babanusah,75,1581539536.0,100.0,47.05,-122.29,48.99,5.82
153,babanusah,0,1581539537.0,92.0,-34.0,24.73,67.05,4.7
154,babanusah,99,1581539537.0,82.0,-19.55,169.27,83.37,1.05
155,babanusah,75,1581539537.0,88.0,-22.92,-42.82,71.6,5.82
156,babanusah,100,1581539537.0,87.0,46.42,3.91,37.4,1.12
157,babanusah,5,1581539537.0,34.0,60.92,-46.05,5.0,3.36
158,babanusah,0,,,,,,
159,babanusah,90,1581539538.0,83.0,-28.77,114.6,73.4,9.17
160,babanusah,90,1581539538.0,65.0,46.41,-105.84,21.0,11.41
161,babanusah,100,1581539541.0,99.0,50.6,97.52,-8.52,0.87
162,babanusah,75,1581539542.0,66.0,-5.2,-35.46,86.0,17.22
163,babanusah,40,1581539542.0,88.0,-24.87,113.63,73.4,11.41
164,babanusah,72,1581539542.0,82.0,39.05,-27.98,61.38,7.72
165,babanusah,0,,,,,,
